% energy,cross section
7328500,1.3037
7333400,1.33879
7348600,1.4482
7368700,1.49749
7401000,1.46498
7433300,1.42897
7442820,1.42039
7465600,1.40001
7491320,1.39078
7497900,1.38979
7527220,1.37852
7528100,1.3784
7558200,1.35164
7563110,1.34714
7588400,1.32979
7606710,1.32995
7618500,1.33092
7618580,1.33101
7634890,1.34696
7636500,1.34867
7641410,1.35913
7642340,1.36112
7654400,1.38519
7666090,1.42411
7672400,1.44441
7689840,1.5296
7690300,1.53179
7702500,1.64468
7706670,1.69885
7714700,1.80231
7726900,1.94219
7737340,1.99334
7739100,2.00183
7742570,1.99252
7761400,1.93892
7778460,1.83862
7783600,1.80709
7784850,1.7994
7805900,1.67031
7828100,1.59924
7832350,1.59351
7835880,1.58917
7862600,1.55003
7879850,1.51061
7887000,1.49581
7893310,1.48274
7897100,1.47437
7927360,1.40092
7931500,1.39179
7951110,1.35618
7966000,1.33182
7974860,1.32557
7994700,1.31422
8000000,1.31531
8008160,1.31698
8023400,1.3213
8052100,1.33964
8065590,1.34722
8080800,1.35875
8114200,1.3146
8116700,1.31132
8123020,1.28646
8130410,1.25962
8152600,1.17905
8180440,1.05361
8188500,1.02061
8224400,0.90501
8237870,0.88201
8253550,0.85726
8278200,0.81719
8293020,0.80548
8323220,0.78128
8332100,0.77362
8334780,0.77293
8385900,0.74966
8392890,0.74915
8431680,0.7431
8439700,0.74054
8462560,0.73787
8497390,0.73112
8498600,0.73082
8528580,0.72753
8532240,0.72667
8557500,0.72015
8625500,0.71693
8652580,0.71324
8672440,0.71016
8675000,0.70977
8722400,0.70422
8724740,0.70382
8725000,0.70378
8772920,0.69873
8775000,0.69841
8819310,0.69506
8825000,0.69461
8833090,0.69431
8875000,0.69072
8893260,0.69168
8925000,0.6914
8953430,0.69664
8975000,0.699
9000000,0.70732
9013130,0.71181
9013600,0.712
9025000,0.71515
9057940,0.73604
9075000,0.74503
9102280,0.76159
9125000,0.77441
9171050,0.78346
9175000,0.78417
9190950,0.78137
9214470,0.779
9225000,0.77794
9235280,0.77313
9275000,0.75964
9279620,0.75646
9323960,0.73428
9325000,0.73401
9328970,0.73224
9368300,0.71116
9375000,0.70893
9425000,0.69043
9444300,0.687
9475000,0.68432
9486890,0.68519
9500000,0.68469
9520310,0.68389
9525000,0.68393
9565860,0.68419
9575000,0.68334
9596310,0.68653
9625000,0.691
9644820,0.69619
9672320,0.70407
9675000,0.7046
9702240,0.70532
9703980,0.70562
9725000,0.70633
9735660,0.70658
9756500,0.70415
9759670,0.70378
9775000,0.70451
9798990,0.70059
9808080,0.69841
9825000,0.69434
9862330,0.67593
9874520,0.67057
9875000,0.67042
9925000,0.65617
9925670,0.65613
9975000,0.65797
9989380,0.65934
1.00E+07,0.66068
